,title
0,antenna
1,antennaband
2,appaccess
3,apprank
4,asset
5,assettype
6,band
7,beacon
8,beam
9,behavior
10,brevity
11,capability
12,cause
13,ccmd
14,classification
15,constellation
16,contact
17,contactgroup
18,contactgroupmbr
19,country
20,crew
21,crewlogentry
22,crewmbr
23,crewpsn
24,distro
25,encoding
26,ephemeris
27,eventasset
28,eventassetimpact
29,eventcat
30,eventgeo
31,eventgroup
32,eventgroupevent
33,eventimage
34,eventrptstatus
35,events
36,eventsection
37,eventsignal
38,eventsignalaction
39,eventsignalchr
40,eventsignalon
41,eventtag
42,eventtimeline
43,fec
44,freqplan
45,geoconfidence
46,geomethod
47,georeason
48,geoscenariosignal
49,geoscnparam
50,geostatus
51,guid
52,impact
53,importsatellite
54,importsignal
55,importtransponder
56,milsvc
57,mission
58,missionactivity
59,missionarea
60,missionasset
61,missioncrew
62,missionfreqplan
63,missionsignal
64,missionsignalea
65,modtype
66,msg
67,msgack
68,msgpreset
69,operation
70,polarity
71,powerref
72,reportssaved
73,research
74,satellite
75,satephem
76,sattag
77,satworklist
78,satworklistsat
79,signal
80,signalcat
81,signalgeo
82,sysconnect
83,tacrep
84,tag
85,template
86,transponder
87,txppair
88,user
89,userapprptset
90,userapprptsetrpt
91,userbookmark
92,userrpt
93,userrptblock
94,userview
95,vul
96,wpn
97,wpncape
98,wpncapechange
99,wpnstatus
